#Strain,PVA-MXene_Stress(MPa),CS-CMC_Stress(MPa)
422.186676,0.34727,0.319731625
424.969177,0.34909,0.321434499
427.504761,0.35104,0.323143076
429.651001,0.3526,0.324854797
432.556946,0.35474,0.326566474
435.123383,0.35649,0.32827419
437.651855,0.35844,0.329973151
440.097229,0.36045,0.331657611
442.604309,0.36253,0.333320785
445.301361,0.36474,0.334954826
447.810791,0.36669,0.336550785
450.21344,0.36857,0.338098736
452.843994,0.37058,0.339587876
455.253754,0.37234,0.341006828
457.822571,0.37448,0.34234391
460.491119,0.37636,0.343587602
462.90799,0.37825,0.344727053
465.426941,0.38052,0.345752651
468.109711,0.38247,0.346656638
470.498108,0.38468,0.347433699
472.641968,0.38649,0.348081491
474.197021,0.38695,0.348601086
476.017975,0.38838,0.348997215
477.376007,0.38864,0.349278348
478.012268,0.3887,0.349456475
478.228333,0.38734,0.34954668
478.123871,0.38604,0.349566448
477.390259,0.38409,0.34953474
476.340881,0.38136,0.349470923
474.999481,0.37714,0.349393587
473.532257,0.37364,0.349319353
471.908356,0.36968,0.349261804
470.234558,0.36539,0.349230543
