MXene Ti3C2Tx supercell 4x4x1

112 atoms
3 atom types

-5.575 11.675 xlo xhi
-0.120 10.685 ylo yhi
-0.512 20.012 zlo zhi

Masses

1 47.87  # Ti
2 12.01  # C
3 16.0  # O

Atoms

1 1 1 0.0 1.525152 0.880371 2.437500
2 1 1 0.0 -0.000152 1.761006 9.750000
3 1 1 0.0 1.525152 0.880371 17.062500
4 1 2 0.0 -0.000152 1.761006 4.875000
5 1 2 0.0 1.525152 0.880371 14.625000
6 1 3 0.0 -0.000152 1.761006 0.487500
7 1 3 0.0 1.525152 0.880371 19.012500
8 1 1 0.0 0.000152 3.521749 2.437500
9 1 1 0.0 -1.525152 4.402384 9.750000
10 1 1 0.0 0.000152 3.521749 17.062500
11 1 2 0.0 -1.525152 4.402384 4.875000
12 1 2 0.0 0.000152 3.521749 14.625000
13 1 3 0.0 -1.525152 4.402384 0.487500
14 1 3 0.0 0.000152 3.521749 19.012500
15 1 1 0.0 -1.524847 6.163126 2.437500
16 1 1 0.0 -3.050153 7.043761 9.750000
17 1 1 0.0 -1.524847 6.163126 17.062500
18 1 2 0.0 -3.050153 7.043761 4.875000
19 1 2 0.0 -1.524847 6.163126 14.625000
20 1 3 0.0 -3.050153 7.043761 0.487500
21 1 3 0.0 -1.524847 6.163126 19.012500
22 1 1 0.0 -3.049847 8.804504 2.437500
23 1 1 0.0 -4.575152 9.685139 9.750000
24 1 1 0.0 -3.049847 8.804504 17.062500
25 1 2 0.0 -4.575152 9.685139 4.875000
26 1 2 0.0 -3.049847 8.804504 14.625000
27 1 3 0.0 -4.575152 9.685139 0.487500
28 1 3 0.0 -3.049847 8.804504 19.012500
29 1 1 0.0 4.575152 0.880371 2.437500
30 1 1 0.0 3.049847 1.761006 9.750000
31 1 1 0.0 4.575152 0.880371 17.062500
32 1 2 0.0 3.049847 1.761006 4.875000
33 1 2 0.0 4.575152 0.880371 14.625000
34 1 3 0.0 3.049847 1.761006 0.487500
35 1 3 0.0 4.575152 0.880371 19.012500
36 1 1 0.0 3.050152 3.521749 2.437500
37 1 1 0.0 1.524847 4.402384 9.750000
38 1 1 0.0 3.050152 3.521749 17.062500
39 1 2 0.0 1.524847 4.402384 4.875000
40 1 2 0.0 3.050152 3.521749 14.625000
41 1 3 0.0 1.524847 4.402384 0.487500
42 1 3 0.0 3.050152 3.521749 19.012500
43 1 1 0.0 1.525152 6.163126 2.437500
44 1 1 0.0 -0.000153 7.043761 9.750000
45 1 1 0.0 1.525152 6.163126 17.062500
46 1 2 0.0 -0.000153 7.043761 4.875000
47 1 2 0.0 1.525152 6.163126 14.625000
48 1 3 0.0 -0.000153 7.043761 0.487500
49 1 3 0.0 1.525152 6.163126 19.012500
50 1 1 0.0 0.000153 8.804504 2.437500
51 1 1 0.0 -1.525152 9.685139 9.750000
52 1 1 0.0 0.000153 8.804504 17.062500
53 1 2 0.0 -1.525152 9.685139 4.875000
54 1 2 0.0 0.000153 8.804504 14.625000
55 1 3 0.0 -1.525152 9.685139 0.487500
56 1 3 0.0 0.000153 8.804504 19.012500
57 1 1 0.0 7.625153 0.880371 2.437500
58 1 1 0.0 6.099847 1.761006 9.750000
59 1 1 0.0 7.625153 0.880371 17.062500
60 1 2 0.0 6.099847 1.761006 4.875000
61 1 2 0.0 7.625153 0.880371 14.625000
62 1 3 0.0 6.099847 1.761006 0.487500
63 1 3 0.0 7.625153 0.880371 19.012500
64 1 1 0.0 6.100153 3.521749 2.437500
65 1 1 0.0 4.574847 4.402384 9.750000
66 1 1 0.0 6.100153 3.521749 17.062500
67 1 2 0.0 4.574847 4.402384 4.875000
68 1 2 0.0 6.100153 3.521749 14.625000
69 1 3 0.0 4.574847 4.402384 0.487500
70 1 3 0.0 6.100153 3.521749 19.012500
71 1 1 0.0 4.575153 6.163126 2.437500
72 1 1 0.0 3.049847 7.043761 9.750000
73 1 1 0.0 4.575153 6.163126 17.062500
74 1 2 0.0 3.049847 7.043761 4.875000
75 1 2 0.0 4.575153 6.163126 14.625000
76 1 3 0.0 3.049847 7.043761 0.487500
77 1 3 0.0 4.575153 6.163126 19.012500
78 1 1 0.0 3.050153 8.804504 2.437500
79 1 1 0.0 1.524847 9.685139 9.750000
80 1 1 0.0 3.050153 8.804504 17.062500
81 1 2 0.0 1.524847 9.685139 4.875000
82 1 2 0.0 3.050153 8.804504 14.625000
83 1 3 0.0 1.524847 9.685139 0.487500
84 1 3 0.0 3.050153 8.804504 19.012500
85 1 1 0.0 10.675152 0.880371 2.437500
86 1 1 0.0 9.149847 1.761006 9.750000
87 1 1 0.0 10.675152 0.880371 17.062500
88 1 2 0.0 9.149847 1.761006 4.875000
89 1 2 0.0 10.675152 0.880371 14.625000
90 1 3 0.0 9.149847 1.761006 0.487500
91 1 3 0.0 10.675152 0.880371 19.012500
92 1 1 0.0 9.150152 3.521749 2.437500
93 1 1 0.0 7.624847 4.402384 9.750000
94 1 1 0.0 9.150152 3.521749 17.062500
95 1 2 0.0 7.624847 4.402384 4.875000
96 1 2 0.0 9.150152 3.521749 14.625000
97 1 3 0.0 7.624847 4.402384 0.487500
98 1 3 0.0 9.150152 3.521749 19.012500
99 1 1 0.0 7.625152 6.163126 2.437500
100 1 1 0.0 6.099847 7.043761 9.750000
101 1 1 0.0 7.625152 6.163126 17.062500
102 1 2 0.0 6.099847 7.043761 4.875000
103 1 2 0.0 7.625152 6.163126 14.625000
104 1 3 0.0 6.099847 7.043761 0.487500
105 1 3 0.0 7.625152 6.163126 19.012500
106 1 1 0.0 6.100153 8.804504 2.437500
107 1 1 0.0 4.574847 9.685139 9.750000
108 1 1 0.0 6.100153 8.804504 17.062500
109 1 2 0.0 4.574847 9.685139 4.875000
110 1 2 0.0 6.100153 8.804504 14.625000
111 1 3 0.0 4.574847 9.685139 0.487500
112 1 3 0.0 6.100153 8.804504 19.012500
